lines_added,lines_deleted,net_churn,files_changed,commits_between,msg_total_length,has_perf_keyword,has_fix_keyword,has_test_keyword,has_refactor_keyword,has_dependency_keyword,project,language,prev_commit,commit,prev_energy_median,curr_energy_median,pct_change,p_value,cliffs_delta,is_regression_naive,is_regression
6,6,12,6,1,34,0,0,0,0,1,docx4j,java,c296bdc0d7ef8d16700539c3be8675b50dadfc84,28b17252827d4bba9e4e8f4d2d21c6f43f7222a6,127.61,126.17,-0.011284382101716148,0.2901428023540349,0.2311111111111111,0,0
1,1,2,1,1,21,0,0,0,0,1,docx4j,java,28b17252827d4bba9e4e8f4d2d21c6f43f7222a6,33bd349f50f9535e3d63f90c38259115e99082c9,126.17,126.75,0.004596972338907809,1.0,0.0044444444444444444,0,0
3,3,6,3,2,99,0,0,0,0,0,docx4j,java,33bd349f50f9535e3d63f90c38259115e99082c9,271ac0540488d7429c36cec85f34b25210ac63df,126.75,126.27,-0.0037869822485207412,0.7399938739946226,0.07555555555555556,0,0
68,63,131,2,2,51,0,0,0,0,1,docx4j,java,271ac0540488d7429c36cec85f34b25210ac63df,474b8b9f3bf864a31efb0ed7698f0e3309e68264,126.27,126.62,0.002771838124653588,0.08901797772326324,-0.3688888888888889,0,0
2,1,3,1,1,35,0,0,0,0,0,docx4j,java,474b8b9f3bf864a31efb0ed7698f0e3309e68264,7dce19588cc3af8fe03900b1fd66774f8b0b2185,126.62,126.66,0.00031590586005364116,0.29008912999531156,0.2311111111111111,0,0
68,32,100,11,2,311,0,0,1,0,0,docx4j,java,7dce19588cc3af8fe03900b1fd66774f8b0b2185,d4d5950d24941530e1bcb6083c76f93fec96bc1f,126.66,127.4,0.005842412758566312,0.07112203384258857,-0.39111111111111113,0,0
31,13,44,4,1,82,0,0,0,0,0,docx4j,java,d4d5950d24941530e1bcb6083c76f93fec96bc1f,e878c035a9183b0ca13d3d88fc5af36148bd00e8,127.4,90.53,-0.289403453689168,3.3833394126542183e-06,1.0,0,0
11,8,19,3,1,10,0,0,0,0,1,docx4j,java,e878c035a9183b0ca13d3d88fc5af36148bd00e8,e8e54fb15116c80f9c6541504fcf91379e4957c4,90.53,128.4,0.41831437092676466,3.3833394126542183e-06,-1.0,1,1
14,0,14,1,1,38,0,0,0,0,0,docx4j,java,e8e54fb15116c80f9c6541504fcf91379e4957c4,a0181d60d9de82966dadd51183080de5d5e070b1,128.4,127.91,-0.0038161993769471113,0.4185655899250009,0.17777777777777778,0,0
2,0,2,1,1,39,0,0,0,0,0,docx4j,java,a0181d60d9de82966dadd51183080de5d5e070b1,2ce58b1941376f64ca97f5e38fe6878742cfed41,127.91,128.05,0.0010945195840826737,0.9338864180775845,-0.022222222222222223,0,0
1,1,2,1,1,35,0,0,0,0,0,docx4j,java,2ce58b1941376f64ca97f5e38fe6878742cfed41,62f8871c4018430608174aaf0b823850be631367,128.05,127.48,-0.0044513861772745595,0.1985058531538877,0.28,0,0
12,3,15,3,1,72,0,0,0,0,0,docx4j,java,62f8871c4018430608174aaf0b823850be631367,4d43dcd2c2d4b7516d92a4b9db0cff91737315ce,127.48,127.14,-0.0026670850329463714,0.8034411566561627,0.057777777777777775,0,0
10,9,19,1,1,71,0,0,0,0,0,docx4j,java,4d43dcd2c2d4b7516d92a4b9db0cff91737315ce,fcef8cb577c462b307a8d3f612ced9e5a2e37f6d,127.14,128.0,0.0067641969482460235,0.007009883766578612,-0.5822222222222222,0,0
